platform,title,url,price,price_type,status,morph,traits,sex,weight_g,image_url,classification_mode
파사모,레드 릴리화이트 암컷,https://cafe.naver.com/f-e/cafes/12440585/articles/5608527#red-lilly-female,100000,FIXED,ACTIVE,릴리화이트,레드,FEMALE,,
파사모,솔리드백 릴리화이트 암컷,https://cafe.naver.com/f-e/cafes/12440585/articles/5608527#solid-back-lilly-female,50000,FIXED,ACTIVE,릴리화이트,솔리드백,FEMALE,,
파사모,솔리드백급 릴잔틱 베이비,https://cafe.naver.com/f-e/cafes/12440585/articles/5608527#lilly-axanthic-baby,130000,FIXED,ACTIVE,릴잔틱,솔리드백,UNKNOWN,,
파사모,광폭도살 릴리화이트 점X 숫 아성체,https://cafe.naver.com/f-e/cafes/12440585/articles/5608499#point-free-lilly-male,70000,FIXED,ACTIVE,릴리화이트,,MALE,,
파사모,세이블릴리 숫컷 성체,https://cafe.naver.com/f-e/cafes/12440585/articles/5608482#sable-lilly-male-adult,390000,FIXED,ACTIVE,릴리화이트,,MALE,,
파사모,솔리드 레드릴리 숫컷 성체,https://cafe.naver.com/f-e/cafes/12440585/articles/5608482#solid-red-lilly-male-adult,50000,FIXED,ACTIVE,릴리화이트,솔리드백|레드,MALE,,
파사모,릴리화이트 암컷 성체,https://cafe.naver.com/f-e/cafes/12440585/articles/5608469#lilly-female-adult,50000,FIXED,ACTIVE,릴리화이트,,FEMALE,,
파사모,솔리드 릴리 베이비 1번,https://cafe.naver.com/f-e/cafes/12440585/articles/5608467#lilly-baby-1,15000,FIXED,ACTIVE,릴리화이트,솔리드백,UNKNOWN,,
파사모,솔리드 릴리 베이비 2번,https://cafe.naver.com/f-e/cafes/12440585/articles/5608467#lilly-baby-2,20000,FIXED,ACTIVE,릴리화이트,솔리드백,UNKNOWN,,
파사모,솔리드 릴리 베이비 3번,https://cafe.naver.com/f-e/cafes/12440585/articles/5608467#lilly-baby-3,20000,FIXED,ACTIVE,릴리화이트,솔리드백,UNKNOWN,,
파사모,4번 헷100릴리 표기 베이비,https://cafe.naver.com/f-e/cafes/12440585/articles/5608467#lilly-baby-4,20000,FIXED,ACTIVE,,,UNKNOWN,,,UNCLASSIFIED
파사모,릴리화이트 미구분 13-14g,https://cafe.naver.com/f-e/cafes/12440585/articles/5608434#lilly-unsexed-13-14g,120000,FIXED,ACTIVE,릴리화이트,,UNKNOWN,13.5,
파사모,릴리화이트 암컷 45g,https://cafe.naver.com/f-e/cafes/12440585/articles/5608434#lilly-female-45g,100000,FIXED,ACTIVE,릴리화이트,,FEMALE,45,
파사모,다크 릴리화이트 100헷 아잔틱 2g 1번,https://cafe.naver.com/f-e/cafes/12440585/articles/5608412#dark-lilly-het-axanthic-1,20000,FIXED,ACTIVE,릴리화이트,,UNKNOWN,2,
파사모,다크 릴리화이트 100헷 아잔틱 2g 2번,https://cafe.naver.com/f-e/cafes/12440585/articles/5608412#dark-lilly-het-axanthic-2,20000,FIXED,ACTIVE,릴리화이트,,UNKNOWN,2,
파사모,다크 릴리화이트 100헷 아잔틱 2g 3번,https://cafe.naver.com/f-e/cafes/12440585/articles/5608412#dark-lilly-het-axanthic-3,20000,FIXED,ACTIVE,릴리화이트,,UNKNOWN,2,
